title,genre,language,imdb_score,premiere,runtime,year
15-Aug,Comedy-drama,Marathi,5.8,3/29/2019,124,2019-01-01
Chadwick Boseman: Portrait of an Artist,Documentary,English,6.5,4/17/2021,21,2021-01-01
Kingdom of Us,Documentary,English,7.0,10/13/2017,109,2017-01-01
Audrie & Daisy,Documentary,English,7.2,9/23/2016,98,2016-01-01
5 Star Christmas,Comedy,Italian,4.6,12/7/2018,95,2018-01-01
Father Soldier Son,Documentary,English,7.3,7/17/2020,100,2020-01-01
The Occupant,Thriller,Spanish,6.4,3/25/2020,103,2020-01-01
See You Yesterday,Science fiction,English,5.2,5/17/2019,87,2019-01-01
Pee-wee's Big Holiday,Adventure,English,6.1,3/18/2016,89,2016-01-01
Anelka: Misunderstood,Documentary,French,6.4,8/5/2020,94,2020-01-01
Oxygen,Science fiction thriller,French,6.5,5/12/2021,101,2021-01-01
Tony Parker: The Final Shot,Documentary,French,6.8,1/6/2021,98,2021-01-01
His House,Thriller,English,6.5,10/30/2020,93,2020-01-01
13th,Documentary,English,8.2,10/7/2016,100,2016-01-01
Calibre,Thriller,English,6.8,6/29/2018,101,2018-01-01
Lost Girls,Crime drama,English,6.1,3/13/2020,95,2020-01-01
Brahman Naman,Comedy,English,5.6,7/7/2016,95,2016-01-01
Anima,Musical / Short,English,7.7,6/27/2019,15,2019-01-01
After Maria,Documentary,English/Spanish,4.6,5/24/2019,37,2019-01-01
Amanda Knox,Documentary,English,6.9,9/30/2016,92,2016-01-01
Dad Wanted,Family,Spanish,5.7,9/11/2020,102,2020-01-01
To All the Boys: P.S. I Still Love You,Romantic comedy,English,6.0,2/12/2020,102,2020-01-01
Naked,Comedy,English,5.4,8/11/2017,96,2017-01-01
Guilty,Thriller,Hindi,5.4,3/6/2020,119,2020-01-01
To All the Boys I've Loved Before,Romantic comedy,English,7.1,8/17/2018,99,2018-01-01
Tribhanga ? Tedhi Medhi Crazy,Drama,Hindi,6.1,1/15/2021,95,2021-01-01
Team Foxcatcher,Documentary,English/Russian,7.3,4/29/2016,90,2016-01-01
The Players,Comedy,Italian,4.6,7/15/2020,88,2020-01-01
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,English,7.1,1/26/2017,36,2017-01-01
Wheelman,Action thriller,English,6.4,10/20/2017,82,2017-01-01
Dangerous Lies,Thriller,English,5.3,4/30/2020,97,2020-01-01
A Life of Speed: The Juan Manuel Fangio Story,Documentary,Spanish,6.8,3/20/2020,92,2020-01-01
One of Us,Documentary,English,7.1,10/20/2017,95,2017-01-01
A Tale of Two Kitchens,Documentary,English/Spanish,6.3,5/22/2019,30,2019-01-01
Over the Moon,Animation/Musical/Adventure,English,6.4,10/23/2020,95,2020-01-01
Raat Akeli Hai,Thriller,Hindi,7.3,7/31/2020,149,2020-01-01
Two Catalonias,Documentary,Spanish/Catalan,6.4,9/28/2018,116,2018-01-01
Keith Richards: Under the Influence,Documentary,English,7.1,9/18/2015,81,2015-01-01
ReMastered: Who Shot the Sheriff?,Documentary,English,6.9,10/12/2018,57,2018-01-01
Like Father,Comedy,English,6.1,8/3/2018,103,2018-01-01
ReMastered: The Two Killings of Sam Cooke,Documentary,English,7.3,2/8/2019,64,2019-01-01
