title,genre,language,rating,duration_min,year
Geez & Ann,Romantic drama,Indonesian,5.1,105.0,2021
The Two Popes,Drama,English,7.6,125.0,2019
Double Dad,Comedy-drama,Portuguese,5.6,103.0,2021
Como Caído del Cielo,Musical comedy,Spanish,6.4,112.0,2019
Sandy Wexler,Comedy,English,5.2,131.0,2017
Operation Varsity Blues: The College Admissions Scandal,Documentary,English,7.0,99.0,2021
Life Overtakes Me,Documentary,English/Swedish,6.5,40.0,2019
The Discovery,Science fiction/Drama,English,6.3,102.0,2017
Cops and Robbers,Animation / Short,English,6.9,7.0,2020
My Octopus Teacher,Documentary,English,8.1,85.0,2020
The Speed Cubers,Documentary,English,7.4,40.0,2020
ReMastered: The Miami Showband Massacre,Documentary,English,7.0,70.0,2019
The Devil All the Time,Psychological thriller,English,7.1,138.0,2020
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,English,7.5,108.0,2017
I Am the Pretty Thing That Lives in the House,Horror,English,4.6,89.0,2016
Seaspiracy,Documentary,English,8.2,89.0,2021
Extraction,Action,English,6.7,117.0,2020
The Highwaymen,Crime drama,English,6.9,131.0,2019
Rooting for Roona,Documentary,Bengali,7.1,41.0,2020
ReMastered: Massacre at the Stadium,Documentary,English/Spanish,7.3,64.0,2019
Spectral,Science fiction/Action,English,6.3,108.0,2016
Juanita,Drama,English,6.0,90.0,2019
"Crack: Cocaine, Corruption & Conspiracy",Documentary,English,6.7,89.0,2021
The Land of Steady Habits,Drama,English,6.2,98.0,2018
Searching for Sheela,Documentary,English,4.1,58.0,2021
Pagglait,Comedy-drama,Hindi,6.9,114.0,2021
Becoming,Documentary,English,6.8,89.0,2020
Arlo the Alligator Boy,Animated musical comedy,English,6.7,92.0,2021
Roxanne Roxanne,Biopic,English,6.2,98.0,2018
Choked: Paisa Bolta Hai,Drama,Hindi,5.8,114.0,2020
Just Say Yes,Romantic comedy,Dutch,4.5,97.0,2021
The Day of the Lord,Drama,Spanish,4.9,93.0,2020
Milestone,Drama,Hindi,6.6,98.0,2021
Sardar Ka Grandson,Comedy,Hindi,4.1,139.0,2021
The After Party,Comedy,English,5.8,89.0,2018
Gaga: Five Foot Two,Documentary,English,7.0,100.0,2017
Disclosure: Trans Lives on Screen,Documentary,English,8.2,107.0,2020
A Love Song for Latasha,Documentary,English,6.8,19.0,2020
Struggle: The Life and Lost Art of Szukaiski,Documentary,English,8.0,105.0,2018
1922,Horror/Crime drama,English,6.3,102.0,2017
22-Jul,Drama,English,6.8,144.0,2018
Hot Girls Wanted,Documentary,English,6.1,84.0,2015
Klaus,Animation/Christmas/Comedy/Adventure,English,8.2,97.0,2019
The Boys in the Band: Something Personal,Aftershow / Interview,English,6.8,28.0,2020
I Don't Feel at Home in This World Anymore,Drama,English,6.9,96.0,2017
Earth and Blood,Action,French,4.9,80.0,2020
Nobody Speak: Trials of the Free Press,Documentary,English,6.5,95.0,2017
Òlòt?ré,Crime drama,English,5.5,106.0,2020
The Prom,Musical,English,5.9,132.0,2020
Fractured,Thriller,English,6.4,100.0,2019
The Irishman: In Conversation,Aftershow / Interview,English,7.4,23.0,2019
7 años,Drama,Spanish,6.8,76.0,2016
Antoine Griezmann: The Making of a Legend,Documentary,French,6.5,60.0,2019
Fatal Affair,Thriller,English,4.5,89.0,2020
Music Teacher,Drama,Hindi,6.3,101.0,2019
Enter the Anime,Documentary,English/Japanese,2.5,58.0,2019
Ben Platt: Live from Radio City Music Hall,Concert Film,English,8.4,85.0,2020
First Match,Sports-drama,English,6.4,102.0,2018
Coffee & Kareem,Action comedy,English,5.1,88.0,2020
You've Got This,Romantic comedy,Spanish,5.8,111.0,2020
A Week Away,Christian musical,English,5.7,97.0,2021
The 40-Year-Old Version,Comedy,English,7.2,124.0,2020
What Happened to Mr. Cha?,Comedy,Korean,4.3,102.0,2021
Finding Agnes,Drama,Filipino,4.7,105.0,2020
A Whisker Away,Anime/Fantasy,Japanese,6.7,104.0,2020
Ghost Lab,Horror,Thai,5.2,117.0,2021
ReMastered: Devil at the Crossroads,Documentary,English,7.0,48.0,2019
ReMastered: Tricky Dick & the Man in Black,Documentary,English,7.1,58.0,2018
Handsome: A Netflix Mystery Movie,Comedy,English,5.2,81.0,2017
Rim of the World,Science fiction adventure,English,5.2,98.0,2019
Notes from Dunblane: Lesson from a School Shooting,Documentary,English,5.9,23.0,2018
Homecoming: A Film by Beyonce ,Documentary,English,7.5,137.0,2019
Miss Americana,Documentary,English,7.4,85.0,2020
Always Be My Maybe,Romantic comedy,English,6.8,102.0,2019
Holiday in the Wild,Adventure-romance,English,6.1,85.0,2019
Dude,Teen comedy-drama,English,5.1,97.0,2018
Zion ,Documentary,English,7.2,11.0,2018
ReMastered: The Lion's Share,Documentary,English,7.0,84.0,2019
The Social Dilemma,Documentary,English,7.6,94.0,2020
Paris Is Us,Romance drama,French,4.6,83.0,2019
Candy Jar,Comedy,English,5.8,92.0,2018
Blame!,Anime/Science fiction,Japanese,6.7,106.0,2017
American Factory: A Conversation with the Obamas ,Aftershow / Interview,English,5.2,10.0,2019
The Life Ahead,Drama,Italian,6.8,95.0,2020
A Christmas Prince: The Royal Wedding,Romantic comedy,English,5.3,92.0,2018
Maska,Romantic comedy,Hindi,5.9,111.0,2020
AK vs AK,Thriller,Hindi,6.9,108.0,2020
Eli,Horror,English,5.7,98.0,2019
A Christmas Prince,Romantic comedy,English,5.8,92.0,2017
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,English,5.9,32.0,2019
The Babysitter,Teen comedy horror,English,6.3,85.0,2017
I'm Thinking of Ending Things,Psychological thriller,English,6.6,134.0,2020
Death Note,Horror thriller,English,4.4,100.0,2017
El Camino: A Breaking Bad Movie,Crime drama,English,7.3,121.0,2019
Los Tigres del Norte at Folsom Prison,Documentary,Spanish,7.0,64.0,2019
They'll Love Me When I'm Dead,Documentary,English,7.4,98.0,2018
The Christmas Chronicles: Part Two,Christmas comedy,English,6.0,115.0,2020
Pele,Documentary,English,7.0,108.0,2021
Mowgli: Legend of the Jungle,Adventure,English,6.5,104.0,2018
Have You Ever Seen Fireflies?,Comedy,Turkish,6.2,114.0,2021
Extinction,Science fiction/Thriller,English,5.8,95.0,2018
High Flying Bird,Sports-drama,English,6.2,90.0,2019
Malcolm & Marie,Romantic drama,English,6.7,106.0,2021
Chasing Coral ,Documentary,English,8.1,89.0,2017
The Ridiculous 6,Western,English,4.8,119.0,2015
Stuck Apart,Drama,Turkish,6.1,96.0,2021
John Was Trying to Contact Aliens,Documentary,English,6.4,16.0,2020
Barry,Biopic,English,5.8,104.0,2016
Rising Phoenix,Documentary,English,8.1,106.0,2020
Joan Didion: The Center Will Not Hold,Documentary,English,7.5,98.0,2017
Feminists: What Were They Thinking?,Documentary,English,7.0,86.0,2018
Okja,Action-adventure,English/Korean,7.3,121.0,2017
Extremis,Documentary,English,7.3,24.0,2016
